loc1,loc2,score
ITA,SYC,12536
KOR,SYC,1447
NGA,SYC,8251
COL,SYC,452
PER,SYC,274
MAR,SYC,1561
MMR,SYC,291
CAN,SYC,9956
ARE,SYC,54434
ESP,SYC,2728
EGY,SYC,1417
PAK,SYC,1798
BGD,SYC,16559
DZA,SYC,800
GBR,SYC,21871
DEU,SYC,5323
PHL,SYC,6678
SAU,SYC,13482
BRA,SYC,679
JPN,SYC,1930
FRA,SYC,11660
MEX,SYC,327
IDN,SYC,1453
IND,SYC,9401
SYC,MYT,439694
ATG,MYT,12445
GRD,MYT,6464
KIR,MYT,4963
TON,MYT,2299
STP,MYT,5142
VCT,MYT,6025
FSM,MYT,533
LCA,MYT,13145
IMN,MYT,67
ABW,MYT,1267
CYM,MYT,982
JEY,MYT,396
CPV,MYT,3189
VUT,MYT,22435
SLB,MYT,200381
CUW,MYT,1598
BRB,MYT,1692
BHS,MYT,11576
CAF,MYT,18902
WSM,MYT,2598
TLS,MYT,243
BLZ,MYT,32270
MYT,MYT,189088793
ISL,MYT,509
GNQ,MYT,4737
DJI,MYT,21364
MLT,MYT,5289
SUR,MYT,9067
PYF,MYT,30495
GUF,MYT,167967
SWZ,MYT,5627
GUM,MYT,420
NCL,MYT,51306
MNE,MYT,358
GNB,MYT,2457
FJI,MYT,111535
MDV,MYT,761
BTN,MYT,133
COM,MYT,28871714
GUY,MYT,8503
BWA,MYT,5735
MTQ,MYT,80366
LBR,MYT,6219
GLP,MYT,82211
BDI,MYT,181249
BRN,MYT,119
GAB,MYT,18547
SLE,MYT,5772
LUX,MYT,6284
TCD,MYT,9171
PNG,MYT,2874
CYP,MYT,1410
TTO,MYT,3457
COG,MYT,26935
MUS,MYT,441246
LSO,MYT,2661
RWA,MYT,55265
MKD,MYT,203
MRT,MYT,5784
MAC,MYT,350
GMB,MYT,2294
SVN,MYT,254
NER,MYT,13083
EST,MYT,165
JAM,MYT,6124
REU,MYT,11854608
KOS,MYT,143
LVA,MYT,191
TGO,MYT,11966
MWI,MYT,2669
BIH,MYT,143
GIN,MYT,16711
PRY,MYT,435
MDG,MYT,1245437
PRI,MYT,125
BFA,MYT,8923
URY,MYT,378
MNG,MYT,159
UGA,MYT,18524
CRI,MYT,263
MOZ,MYT,8124
TJK,MYT,193
HRV,MYT,210
AGO,MYT,5804
MDA,MYT,170
BEN,MYT,40895
LAO,MYT,175
LTU,MYT,276
ARM,MYT,97
ALB,MYT,215
HTI,MYT,6805
MLI,MYT,9249
SRB,MYT,279
PAN,MYT,331
GEO,MYT,163
NOR,MYT,499
SEN,MYT,38262
NIC,MYT,327
CMR,MYT,14267
IRL,MYT,615
LBN,MYT,1128
TZA,MYT,118530
BGR,MYT,388
COD,MYT,30760
GRC,MYT,755
KGZ,MYT,69
HUN,MYT,187
DNK,MYT,435
SVK,MYT,212
