loc1,loc2,score
MWI,SVN,280
BIH,SVN,1157591
GIN,SVN,455
PRY,SVN,466
MDG,SVN,673
PRI,SVN,728
BFA,SVN,702
MNG,SVN,560
CRI,SVN,869
MOZ,SVN,284
HRV,SVN,466108
AGO,SVN,349
MDA,SVN,2589
BEN,SVN,5075
LAO,SVN,115
LTU,SVN,5665
ARM,SVN,1103
ALB,SVN,16437
HTI,SVN,216
MLI,SVN,494
SRB,SVN,268717
PAN,SVN,728
GEO,SVN,1746
NOR,SVN,9408
NIC,SVN,252
CMR,SVN,570
IRL,SVN,7736
LBN,SVN,1094
BGR,SVN,12993
COD,SVN,227
GRC,SVN,7218
KGZ,SVN,591
HUN,SVN,13133
DNK,SVN,8994
FIN,SVN,8181
HND,SVN,174
PRT,SVN,6304
AUT,SVN,176074
BHR,SVN,900
DOM,SVN,1572
ETH,SVN,284
NZL,SVN,5191
LKA,SVN,542
AZE,SVN,894
KEN,SVN,539
GHA,SVN,1082
JOR,SVN,602
CHE,SVN,69886
CIV,SVN,690
ROU,SVN,4622
BOL,SVN,306
SGP,SVN,1612
BEL,SVN,11999
LBY,SVN,327
KHM,SVN,133
BLR,SVN,4797
OMN,SVN,572
SWE,SVN,12265
CZE,SVN,11587
GTM,SVN,214
ECU,SVN,367
NPL,SVN,364
HKG,SVN,964
QAT,SVN,2068
NLD,SVN,11652
KWT,SVN,890
KAZ,SVN,886
MYS,SVN,414
CHL,SVN,753
POL,SVN,3757
ARG,SVN,1258
AUS,SVN,5203
ITA,SVN,15214
KOR,SVN,618
NGA,SVN,538
COL,SVN,437
PER,SVN,395
MAR,SVN,716
MMR,SVN,72
CAN,SVN,3499
ARE,SVN,2715
ESP,SVN,5230
EGY,SVN,511
PAK,SVN,339
BGD,SVN,208
DZA,SVN,454
GBR,SVN,5701
DEU,SVN,26673
PHL,SVN,408
SAU,SVN,425
BRA,SVN,505
JPN,SVN,872
FRA,SVN,3893
MEX,SVN,410
IDN,SVN,282
IND,SVN,181
SYC,SVK,2890
ATG,SVK,554
GRD,SVK,453
KIR,SVK,368
FSM,SVK,70
LCA,SVK,452
IMN,SVK,9149
ABW,SVK,1624
CYM,SVK,4195
JEY,SVK,4371
CPV,SVK,1304
SLB,SVK,134
CUW,SVK,588
BRB,SVK,752
BHS,SVK,527
CAF,SVK,293
BLZ,SVK,281
ISL,SVK,15959
GNQ,SVK,363
DJI,SVK,376
MLT,SVK,15656
PYF,SVK,865
GUF,SVK,684
GUM,SVK,306
NCL,SVK,427
MNE,SVK,17017
GNB,SVK,273
FJI,SVK,162
MDV,SVK,1110
BTN,SVK,186
COM,SVK,148
GUY,SVK,263
BWA,SVK,202
MTQ,SVK,746
LBR,SVK,427
GLP,SVK,701
BDI,SVK,243
BRN,SVK,372
GAB,SVK,291
LUX,SVK,12390
PNG,SVK,124
CYP,SVK,13674
COG,SVK,419
MUS,SVK,853
LSO,SVK,101
RWA,SVK,310
MKD,SVK,34022
MRT,SVK,228
MAC,SVK,649
GMB,SVK,1709
SVN,SVK,13354
NER,SVK,303
EST,SVK,4036
JAM,SVK,553
REU,SVK,486
LVA,SVK,5344
MWI,SVK,121
BIH,SVK,10450
GIN,SVK,393
PRY,SVK,288
MDG,SVK,341
PRI,SVK,348
BFA,SVK,284
MNG,SVK,685
CRI,SVK,561
MOZ,SVK,299
HRV,SVK,13290
AGO,SVK,360
MDA,SVK,2294
BEN,SVK,2330
LAO,SVK,215
LTU,SVK,3689
ARM,SVK,1209
ALB,SVK,4095
HTI,SVK,210
MLI,SVK,424
SRB,SVK,49452
PAN,SVK,413
GEO,SVK,3463
NOR,SVK,8397
NIC,SVK,279
CMR,SVK,395
IRL,SVK,22371
LBN,SVK,855
BGR,SVK,13949
COD,SVK,205
GRC,SVK,5080
KGZ,SVK,1193
HUN,SVK,85618
DNK,SVK,8541
SVK,SVK,9071279
FIN,SVK,3575
HND,SVK,238
PRT,SVK,2586
AUT,SVK,72087
BHR,SVK,880
DOM,SVK,431
ETH,SVK,199
NZL,SVK,1790
LKA,SVK,327
AZE,SVK,830
KEN,SVK,418
GHA,SVK,645
JOR,SVK,362
CHE,SVK,35359
CIV,SVK,642
ROU,SVK,9291
BOL,SVK,234
SGP,SVK,802
BEL,SVK,6190
LBY,SVK,304
KHM,SVK,86
BLR,SVK,3454
OMN,SVK,505
SWE,SVK,3572
CZE,SVK,305718
GTM,SVK,176
ECU,SVK,279
NPL,SVK,120
HKG,SVK,519
QAT,SVK,773
NLD,SVK,8509
KWT,SVK,532
KAZ,SVK,816
MYS,SVK,240
CHL,SVK,340
POL,SVK,6209
ARG,SVK,439
AUS,SVK,2187
ITA,SVK,4486
KOR,SVK,521
NGA,SVK,398
COL,SVK,274
PER,SVK,234
MAR,SVK,1359
MMR,SVK,48
CAN,SVK,2604
ARE,SVK,1683
ESP,SVK,3049
EGY,SVK,447
PAK,SVK,318
BGD,SVK,132
DZA,SVK,1589
GBR,SVK,16014
DEU,SVK,11562
PHL,SVK,229
SAU,SVK,337
BRA,SVK,292
JPN,SVK,528
FRA,SVK,2162
MEX,SVK,309
IDN,SVK,203
IND,SVK,133
SYC,USA,2396
ATG,USA,56333
GRD,USA,46366
KIR,USA,2625
TON,USA,25754
STP,USA,1052
FSM,USA,84128
LCA,USA,32111
IMN,USA,3923
ABW,USA,13231
CYM,USA,44214
JEY,USA,3750
CPV,USA,30562
SLB,USA,618
CUW,USA,8528
BRB,USA,23977
BHS,USA,49044
CAF,USA,2044
TLS,USA,474
BLZ,USA,27538
ISL,USA,7023
GNQ,USA,3405
DJI,USA,4140
MLT,USA,4258
SUR,USA,5340
PYF,USA,2365
GUF,USA,7401
SWZ,USA,1008
GUM,USA,75896
NCL,USA,708
MNE,USA,6030
GNB,USA,1122
FJI,USA,5227
MDV,USA,1119
BTN,USA,2513
COM,USA,291
GUY,USA,35645
BWA,USA,1296
MTQ,USA,2971
LBR,USA,22674
GLP,USA,4467
BDI,USA,2921
BRN,USA,1224
GAB,USA,1693
SLE,USA,10404
LUX,USA,4222
TCD,USA,1067
PNG,USA,848
CYP,USA,3522
TTO,USA,21300
COG,USA,1711
MUS,USA,1231
LSO,USA,370
RWA,USA,3539
MKD,USA,4138
MRT,USA,1425
MAC,USA,2729
GMB,USA,11569
SVN,USA,2037
NER,USA,1344
EST,USA,1818
JAM,USA,57876
REU,USA,487
LVA,USA,1611
TGO,USA,3249
MWI,USA,1216
BIH,USA,3339
GIN,USA,3058
PRY,USA,2364
MDG,USA,415
PRI,USA,83891
BFA,USA,1800
MNG,USA,1590
UGA,USA,4860
CRI,USA,7802
MOZ,USA,578
TJK,USA,931
HRV,USA,1992
AGO,USA,941
MDA,USA,1849
BEN,USA,1208
LAO,USA,2475
LTU,USA,1520
ARM,USA,3644
ALB,USA,4589
HTI,USA,24020
MLI,USA,1368
SRB,USA,2540
PAN,USA,5402
GEO,USA,1871
NOR,USA,3690
SEN,USA,2390
NIC,USA,8907
CMR,USA,3308
IRL,USA,6761
LBN,USA,3804
TZA,USA,1519
BGR,USA,2101
COD,USA,1805
GRC,USA,3180
KGZ,USA,705
HUN,USA,1472
DNK,USA,2982
SVK,USA,1043
FIN,USA,2147
HND,USA,35318
PRT,USA,2969
AUT,USA,2710
BHR,USA,3445
DOM,USA,30940
ETH,USA,3939
NZL,USA,6192
LKA,USA,1032
AZE,USA,620
KEN,USA,3077
SLV,USA,25900
GHA,USA,5357
JOR,USA,2459
CHE,USA,4693
CIV,USA,1273
ROU,USA,1688
TUN,USA,869
BOL,USA,1617
SGP,USA,4302
BEL,USA,2243
LBY,USA,386
KHM,USA,1231
BLR,USA,1454
OMN,USA,1349
SWE,USA,3449
CZE,USA,1278
GTM,USA,20582
ECU,USA,6536
NPL,USA,2423
HKG,USA,3248
QAT,USA,3027
NLD,USA,3091
KWT,USA,2294
KAZ,USA,523
MYS,USA,827
CHL,USA,2311
POL,USA,1133
ARG,USA,1488
AUS,USA,6142
ITA,USA,2619
KOR,USA,2439
TWN,USA,1607
NGA,USA,3573
COL,USA,3629
PER,USA,2260
UKR,USA,1125
MAR,USA,886
MMR,USA,784
CAN,USA,10448
ARE,USA,3616
ESP,USA,3316
EGY,USA,832
PAK,USA,890
THA,USA,710
BGD,USA,754
TUR,USA,650
DZA,USA,406
GBR,USA,5261
DEU,USA,3230
PHL,USA,2896
SAU,USA,1328
BRA,USA,1511
JPN,USA,2328
FRA,USA,1791
MEX,USA,10888
IDN,USA,324
USA,USA,212464
IND,USA,780
SYC,TUN,2328
ATG,TUN,683
GRD,TUN,802
KIR,TUN,1006
STP,TUN,1155
FSM,TUN,767
LCA,TUN,655
IMN,TUN,584
ABW,TUN,874
CYM,TUN,989
JEY,TUN,979
CPV,TUN,1096
SLB,TUN,847
CUW,TUN,778
BRB,TUN,413
BHS,TUN,684
CAF,TUN,14294
TLS,TUN,445
BLZ,TUN,966
ISL,TUN,1552
GNQ,TUN,8316
DJI,TUN,10973
MLT,TUN,10066
SUR,TUN,976
PYF,TUN,1960
GUF,TUN,4578
SWZ,TUN,1304
GUM,TUN,885
NCL,TUN,1651
MNE,TUN,1593
GNB,TUN,2780
FJI,TUN,626
MDV,TUN,1447
BTN,TUN,412
COM,TUN,25716
GUY,TUN,1272
BWA,TUN,1308
MTQ,TUN,1767
LBR,TUN,7578
GLP,TUN,1793
BDI,TUN,2057
BRN,TUN,741
GAB,TUN,22421
SLE,TUN,10218
LUX,TUN,18878
TCD,TUN,7774
PNG,TUN,430
CYP,TUN,2325
COG,TUN,10822
MUS,TUN,1804
LSO,TUN,820
RWA,TUN,1953
MKD,TUN,1337
MRT,TUN,21159
MAC,TUN,341
GMB,TUN,5317
SVN,TUN,1417
NER,TUN,10057
EST,TUN,1053
JAM,TUN,1475
REU,TUN,2803
LVA,TUN,4388
TGO,TUN,4544
MWI,TUN,623
BIH,TUN,1300
GIN,TUN,32749
PRY,TUN,3459
MDG,TUN,4998
PRI,TUN,600
BFA,TUN,9200
MNG,TUN,508
CRI,TUN,1448
MOZ,TUN,1598
TJK,TUN,672
HRV,TUN,1104
AGO,TUN,2106
MDA,TUN,2060
BEN,TUN,5706
LAO,TUN,267
LTU,TUN,2066
ARM,TUN,628
ALB,TUN,1647
HTI,TUN,1948
MLI,TUN,9504
SRB,TUN,1927
PAN,TUN,1260
GEO,TUN,1144
NOR,TUN,1498
SEN,TUN,5882
NIC,TUN,1630
CMR,TUN,10561
IRL,TUN,1344
LBN,TUN,11780
BGR,TUN,1209
COD,TUN,7808
GRC,TUN,2358
KGZ,TUN,756
HUN,TUN,1980
DNK,TUN,1420
SVK,TUN,1698
FIN,TUN,1576
HND,TUN,1991
PRT,TUN,1517
AUT,TUN,4520
BHR,TUN,7411
DOM,TUN,1877
ETH,TUN,1046
NZL,TUN,620
LKA,TUN,446
AZE,TUN,767
KEN,TUN,2353
SLV,TUN,1173
GHA,TUN,2467
JOR,TUN,9472
CHE,TUN,11909
CIV,TUN,21943
ROU,TUN,2276
TUN,TUN,5118918
BOL,TUN,1356
SGP,TUN,508
BEL,TUN,9873
LBY,TUN,33366
KHM,TUN,440
BLR,TUN,5979
OMN,TUN,14217
SWE,TUN,3462
CZE,TUN,2116
GTM,TUN,968
ECU,TUN,1347
NPL,TUN,266
HKG,TUN,460
QAT,TUN,56513
NLD,TUN,2626
KWT,TUN,8280
KAZ,TUN,1399
MYS,TUN,529
CHL,TUN,675
POL,TUN,1772
ARG,TUN,1708
AUS,TUN,586
ITA,TUN,12141
KOR,TUN,582
NGA,TUN,1580
COL,TUN,1617
PER,TUN,973
MAR,TUN,21402
MMR,TUN,180
CAN,TUN,5608
ARE,TUN,10397
ESP,TUN,1900
EGY,TUN,8366
PAK,TUN,1497
THA,TUN,289
BGD,TUN,739
DZA,TUN,26583
GBR,TUN,1659
DEU,TUN,8688
PHL,TUN,1073
SAU,TUN,8815
BRA,TUN,1967
JPN,TUN,393
FRA,TUN,33461
MEX,TUN,1531
IDN,TUN,721
IND,TUN,244
SYC,UKR,1799
ATG,UKR,490
GRD,UKR,547
KIR,UKR,121
TON,UKR,159
STP,UKR,506
FSM,UKR,104
LCA,UKR,380
IMN,UKR,833
ABW,UKR,369
CYM,UKR,1202
JEY,UKR,868
CPV,UKR,323
SLB,UKR,186
CUW,UKR,496
BRB,UKR,341
BHS,UKR,409
CAF,UKR,556
TLS,UKR,177
BLZ,UKR,266
ISL,UKR,2695
GNQ,UKR,1318
DJI,UKR,456
MLT,UKR,5993
SUR,UKR,286
PYF,UKR,252
GUF,UKR,329
SWZ,UKR,602
GUM,UKR,274
NCL,UKR,262
MNE,UKR,12536
GNB,UKR,672
FJI,UKR,185
MDV,UKR,2091
BTN,UKR,346
COM,UKR,1025
GUY,UKR,367
BWA,UKR,258
MTQ,UKR,290
LBR,UKR,1795
GLP,UKR,317
BDI,UKR,324
BRN,UKR,266
GAB,UKR,626
SLE,UKR,2202
LUX,UKR,4532
TCD,UKR,378
PNG,UKR,296
CYP,UKR,11712
TTO,UKR,366
COG,UKR,1735
MUS,UKR,841
LSO,UKR,136
RWA,UKR,591
MKD,UKR,4228
MRT,UKR,635
MAC,UKR,431
GMB,UKR,4375
SVN,UKR,3165
NER,UKR,447
EST,UKR,24605
JAM,UKR,500
REU,UKR,294
LVA,UKR,18660
TGO,UKR,1007
MWI,UKR,275
BIH,UKR,1331
GIN,UKR,1058
PRY,UKR,285
MDG,UKR,477
PRI,UKR,286
BFA,UKR,541
MNG,UKR,932
CRI,UKR,446
MOZ,UKR,394
TJK,UKR,20761
HRV,UKR,2566
AGO,UKR,618
MDA,UKR,31083
BEN,UKR,2173
LAO,UKR,171
LTU,UKR,11146
ARM,UKR,14340
ALB,UKR,1489
HTI,UKR,358
MLI,UKR,567
SRB,UKR,3477
PAN,UKR,304
GEO,UKR,16472
NOR,UKR,2158
SEN,UKR,687
NIC,UKR,319
CMR,UKR,1346
IRL,UKR,2262
LBN,UKR,2691
TZA,UKR,583
BGR,UKR,8611
COD,UKR,792
GRC,UKR,3829
KGZ,UKR,7924
HUN,UKR,17019
DNK,UKR,3902
SVK,UKR,12005
FIN,UKR,4180
HND,UKR,247
PRT,UKR,5133
AUT,UKR,4890
BHR,UKR,954
DOM,UKR,691
ETH,UKR,385
NZL,UKR,583
LKA,UKR,633
AZE,UKR,14878
KEN,UKR,529
SLV,UKR,206
GHA,UKR,1864
JOR,UKR,1635
CHE,UKR,3418
CIV,UKR,1200
ROU,UKR,2872
TUN,UKR,3201
BOL,UKR,231
SGP,UKR,515
BEL,UKR,3665
LBY,UKR,998
KHM,UKR,153
BLR,UKR,51169
OMN,UKR,718
SWE,UKR,3261
CZE,UKR,41768
GTM,UKR,179
ECU,UKR,565
NPL,UKR,232
HKG,UKR,389
QAT,UKR,1470
NLD,UKR,2578
KWT,UKR,984
KAZ,UKR,9701
MYS,UKR,247
CHL,UKR,354
POL,UKR,33472
ARG,UKR,427
AUS,UKR,628
ITA,UKR,7682
KOR,UKR,516
TWN,UKR,201
NGA,UKR,1398
COL,UKR,301
PER,UKR,337
UKR,UKR,1422270
MAR,UKR,2589
MMR,UKR,80
CAN,UKR,1913
ARE,UKR,2479
ESP,UKR,3689
EGY,UKR,1429
PAK,UKR,867
THA,UKR,212
BGD,UKR,346
TUR,UKR,2541
DZA,UKR,1981
GBR,UKR,1917
DEU,UKR,5290
PHL,UKR,294
SAU,UKR,634
BRA,UKR,262
JPN,UKR,358
FRA,UKR,1791
MEX,UKR,283
IDN,UKR,261
IND,UKR,280
SYC,KOS,1249
ATG,KOS,556
GRD,KOS,482
KIR,KOS,134
TON,KOS,392
STP,KOS,299
VCT,KOS,421
FSM,KOS,171
LCA,KOS,1460
IMN,KOS,523
ABW,KOS,728
CYM,KOS,808
JEY,KOS,539
CPV,KOS,331
VUT,KOS,108
SLB,KOS,281
CUW,KOS,563
BRB,KOS,669
BHS,KOS,469
CAF,KOS,4518
WSM,KOS,171
TLS,KOS,212
BLZ,KOS,371
ISL,KOS,18915
GNQ,KOS,592
DJI,KOS,1485
MLT,KOS,9213
SUR,KOS,466
PYF,KOS,176
GUF,KOS,1149
SWZ,KOS,324
GUM,KOS,659
NCL,KOS,229
MNE,KOS,488133
GNB,KOS,503
FJI,KOS,286
MDV,KOS,817
BTN,KOS,193
COM,KOS,180
GUY,KOS,620
BWA,KOS,530
MTQ,KOS,239
LBR,KOS,1924
GLP,KOS,286
BDI,KOS,434
BRN,KOS,360
GAB,KOS,466
SLE,KOS,1476
LUX,KOS,72419
TCD,KOS,438
PNG,KOS,232
CYP,KOS,4369
TTO,KOS,687
COG,KOS,642
MUS,KOS,543
LSO,KOS,174
RWA,KOS,448
MKD,KOS,823767
MRT,KOS,474
MAC,KOS,235
GMB,KOS,1678
SVN,KOS,243405
NER,KOS,445
EST,KOS,1356
JAM,KOS,1103
REU,KOS,262
KOS,KOS,32089947
LVA,KOS,2012
TGO,KOS,1258
MWI,KOS,260
BIH,KOS,70177
GIN,KOS,528
PRY,KOS,554
MDG,KOS,439
PRI,KOS,573
BFA,KOS,695
URY,KOS,457
MNG,KOS,758
UGA,KOS,1326
CRI,KOS,484
MOZ,KOS,364
TJK,KOS,658
HRV,KOS,105382
AGO,KOS,641
MDA,KOS,2255
BEN,KOS,2019
LAO,KOS,141
LTU,KOS,1291
ARM,KOS,776
ALB,KOS,1010020
HTI,KOS,343
MLI,KOS,1140
SRB,KOS,303138
PAN,KOS,437
GEO,KOS,1751
NOR,KOS,35285
SEN,KOS,710
NIC,KOS,341
CMR,KOS,672
IRL,KOS,5841
LBN,KOS,1228
TZA,KOS,547
BGR,KOS,7279
COD,KOS,376
GRC,KOS,18258
KGZ,KOS,626
HUN,KOS,11030
DNK,KOS,12850
SVK,KOS,6399
FIN,KOS,41466
HND,KOS,318
PRT,KOS,1106
AUT,KOS,113697
BHR,KOS,899
DOM,KOS,805
ETH,KOS,335
NZL,KOS,1639
LKA,KOS,368
AZE,KOS,1416
KEN,KOS,771
SLV,KOS,226
GHA,KOS,1226
JOR,KOS,1182
CHE,KOS,398192
CIV,KOS,943
ROU,KOS,4988
TUN,KOS,1320
BOL,KOS,232
SGP,KOS,423
BEL,KOS,33874
LBY,KOS,506
KHM,KOS,144
BLR,KOS,1406
OMN,KOS,648
SWE,KOS,59949
CZE,KOS,5949
GTM,KOS,203
ECU,KOS,312
UZB,KOS,540
NPL,KOS,167
HKG,KOS,239
QAT,KOS,1521
NLD,KOS,7012
KWT,KOS,1321
KAZ,KOS,4269
MYS,KOS,302
CHL,KOS,291
POL,KOS,1001
ARG,KOS,369
AUS,KOS,1865
ITA,KOS,20021
KOR,KOS,198
TWN,KOS,106
NGA,KOS,713
COL,KOS,332
PER,KOS,254
UKR,KOS,990
MAR,KOS,1070
MMR,KOS,105
CAN,KOS,5117
ARE,KOS,1863
ESP,KOS,1179
EGY,KOS,562
PAK,KOS,778
THA,KOS,172
BGD,KOS,284
TUR,KOS,7250
DZA,KOS,873
GBR,KOS,7368
DEU,KOS,107849
PHL,KOS,319
SAU,KOS,1084
VNM,KOS,97
BRA,KOS,373
JPN,KOS,221
FRA,KOS,12344
MEX,KOS,254
IDN,KOS,244
USA,KOS,3230
IND,KOS,148
SYC,TLS,1248
ATG,TLS,766
GRD,TLS,841
KIR,TLS,8610
STP,TLS,18667
FSM,TLS,2355
LCA,TLS,573
IMN,TLS,8187
ABW,TLS,413
CYM,TLS,860
JEY,TLS,7133
CPV,TLS,55113
SLB,TLS,8802
CUW,TLS,288
BRB,TLS,422
BHS,TLS,364
CAF,TLS,1414
TLS,TLS,226109449
BLZ,TLS,937
ISL,TLS,245
GNQ,TLS,1352
DJI,TLS,1542
MLT,TLS,479
SUR,TLS,1092
PYF,TLS,1047
GUF,TLS,913
SWZ,TLS,511
GUM,TLS,1144
NCL,TLS,515
MNE,TLS,614
GNB,TLS,3767
FJI,TLS,8933
MDV,TLS,2184
BTN,TLS,943
COM,TLS,995
GUY,TLS,1558
BWA,TLS,597
MTQ,TLS,213
LBR,TLS,1596
GLP,TLS,165
BDI,TLS,969
BRN,TLS,9341
GAB,TLS,634
SLE,TLS,2246
LUX,TLS,1405
TCD,TLS,664
PNG,TLS,10927
CYP,TLS,454
COG,TLS,808
MUS,TLS,557
LSO,TLS,292
RWA,TLS,1286
MKD,TLS,193
MRT,TLS,521
MAC,TLS,15250
GMB,TLS,1253
SVN,TLS,171
NER,TLS,860
EST,TLS,450
JAM,TLS,847
REU,TLS,129
LVA,TLS,159
TGO,TLS,1088
MWI,TLS,576
BIH,TLS,278
GIN,TLS,599
PRY,TLS,1010
MDG,TLS,1289
PRI,TLS,423
BFA,TLS,544
MNG,TLS,642
CRI,TLS,560
MOZ,TLS,4482
TJK,TLS,512
HRV,TLS,205
AGO,TLS,3649
MDA,TLS,151
BEN,TLS,6295
LAO,TLS,1239
LTU,TLS,142
ARM,TLS,127
ALB,TLS,385
HTI,TLS,921
MLI,TLS,756
SRB,TLS,182
PAN,TLS,719
GEO,TLS,165
NOR,TLS,335
SEN,TLS,643
NIC,TLS,812
CMR,TLS,605
IRL,TLS,14998
LBN,TLS,357
BGR,TLS,257
COD,TLS,832
GRC,TLS,274
KGZ,TLS,241
HUN,TLS,198
DNK,TLS,224
SVK,TLS,158
FIN,TLS,198
HND,TLS,757
PRT,TLS,40707
AUT,TLS,284
BHR,TLS,1299
DOM,TLS,1038
ETH,TLS,4067
NZL,TLS,4283
LKA,TLS,3101
AZE,TLS,258
KEN,TLS,969
SLV,TLS,406
GHA,TLS,1269
JOR,TLS,282
CHE,TLS,1072
CIV,TLS,710
ROU,TLS,246
BOL,TLS,625
SGP,TLS,6535
BEL,TLS,422
LBY,TLS,217
KHM,TLS,2193
BLR,TLS,192
OMN,TLS,1359
SWE,TLS,403
CZE,TLS,131
GTM,TLS,420
ECU,TLS,556
NPL,TLS,895
HKG,TLS,2564
QAT,TLS,1572
NLD,TLS,1216
KWT,TLS,1021
KAZ,TLS,291
MYS,TLS,10222
CHL,TLS,217
POL,TLS,128
ARG,TLS,364
AUS,TLS,29900
ITA,TLS,865
KOR,TLS,46261
NGA,TLS,690
COL,TLS,534
PER,TLS,421
MAR,TLS,748
MMR,TLS,380
CAN,TLS,322
ARE,TLS,1597
ESP,TLS,519
EGY,TLS,315
PAK,TLS,1384
THA,TLS,439
BGD,TLS,1418
DZA,TLS,328
GBR,TLS,51363
DEU,TLS,352
PHL,TLS,3086
SAU,TLS,1157
BRA,TLS,1570
JPN,TLS,1103
FRA,TLS,259
MEX,TLS,393
IDN,TLS,193353
IND,TLS,635
SYC,THA,1112
ATG,THA,196
GRD,THA,213
KIR,THA,164
STP,THA,136
FSM,THA,227
LCA,THA,178
IMN,THA,1596
ABW,THA,245
CYM,THA,972
JEY,THA,2317
CPV,THA,97
SLB,THA,188
CUW,THA,166
BRB,THA,201
BHS,THA,179
CAF,THA,164
BLZ,THA,109
ISL,THA,3174
GNQ,THA,232
DJI,THA,165
MLT,THA,1422
SUR,THA,163
PYF,THA,465
GUF,THA,430
SWZ,THA,101
GUM,THA,954
NCL,THA,776
MNE,THA,419
GNB,THA,119
FJI,THA,183
MDV,THA,3358
BTN,THA,2232
COM,THA,97
GUY,THA,132
BWA,THA,111
MTQ,THA,204
LBR,THA,381
GLP,THA,186
BDI,THA,139
BRN,THA,4068
GAB,THA,135
SLE,THA,360
LUX,THA,1316
TCD,THA,127
PNG,THA,210
CYP,THA,1018
COG,THA,143
MUS,THA,368
LSO,THA,90
RWA,THA,212
MKD,THA,289
MRT,THA,161
MAC,THA,4320
GMB,THA,444
SVN,THA,433
NER,THA,211
EST,THA,442
JAM,THA,186
REU,THA,358
LVA,THA,268
TGO,THA,442
MWI,THA,111
BIH,THA,135
GIN,THA,417
PRY,THA,141
MDG,THA,234
PRI,THA,173
BFA,THA,193
MNG,THA,220
CRI,THA,181
MOZ,THA,189
HRV,THA,261
AGO,THA,163
MDA,THA,110
BEN,THA,622
LAO,THA,103255
LTU,THA,209
ARM,THA,119
ALB,THA,224
HTI,THA,128
MLI,THA,207
SRB,THA,285
PAN,THA,153
GEO,THA,190
NOR,THA,3462
SEN,THA,722
NIC,THA,129
CMR,THA,324
IRL,THA,972
LBN,THA,291
BGR,THA,245
COD,THA,134
GRC,THA,314
KGZ,THA,143
HUN,THA,347
DNK,THA,1882
SVK,THA,229
FIN,THA,2278
HND,THA,103
PRT,THA,411
AUT,THA,1083
BHR,THA,7456
DOM,THA,170
ETH,THA,187
NZL,THA,2554
LKA,THA,558
AZE,THA,178
KEN,THA,237
SLV,THA,101
GHA,THA,453
JOR,THA,300
CHE,THA,2987
CIV,THA,198
ROU,THA,213
BOL,THA,135
SGP,THA,8488
BEL,THA,998
LBY,THA,156
KHM,THA,41207
BLR,THA,338
OMN,THA,2638
SWE,THA,3222
CZE,THA,309
GTM,THA,81
ECU,THA,112
NPL,THA,344
HKG,THA,2708
QAT,THA,1614
NLD,THA,1054
KWT,THA,877
KAZ,THA,166
MYS,THA,7446
CHL,THA,120
POL,THA,190
ARG,THA,123
AUS,THA,3810
ITA,THA,520
KOR,THA,13850
NGA,THA,638
COL,THA,125
PER,THA,149
MAR,THA,480
MMR,THA,32308
CAN,THA,703
ARE,THA,2584
ESP,THA,310
EGY,THA,313
PAK,THA,790
THA,THA,988236
BGD,THA,423
DZA,THA,215
GBR,THA,1185
DEU,THA,1281
PHL,THA,927
SAU,THA,544
BRA,THA,123
JPN,THA,3090
FRA,THA,604
MEX,THA,113
IDN,THA,588
IND,THA,231
SYC,TUR,1024
ATG,TUR,703
GRD,TUR,390
KIR,TUR,344
TON,TUR,269
STP,TUR,729
FSM,TUR,185
LCA,TUR,461
IMN,TUR,1142
ABW,TUR,477
CYM,TUR,1018
JEY,TUR,586
CPV,TUR,530
SLB,TUR,224
CUW,TUR,766
BRB,TUR,452
BHS,TUR,1544
CAF,TUR,1801
TLS,TUR,197
BLZ,TUR,394
ISL,TUR,1012
GNQ,TUR,2060
DJI,TUR,19905
MLT,TUR,7214
SUR,TUR,515
PYF,TUR,186
GUF,TUR,764
SWZ,TUR,509
GUM,TUR,272
NCL,TUR,148
MNE,TUR,9162
GNB,TUR,2046
FJI,TUR,161
MDV,TUR,1863
BTN,TUR,312
COM,TUR,1916
GUY,TUR,371
BWA,TUR,536
MTQ,TUR,268
LBR,TUR,3147
GLP,TUR,311
BDI,TUR,1125
BRN,TUR,547
GAB,TUR,2082
SLE,TUR,4924
LUX,TUR,4511
TCD,TUR,6960
PNG,TUR,253
CYP,TUR,77826
COG,TUR,1735
MUS,TUR,575
LSO,TUR,280
RWA,TUR,1234
MKD,TUR,10315
MRT,TUR,3732
MAC,TUR,420
GMB,TUR,4651
SVN,TUR,1319
NER,TUR,1794
EST,TUR,1436
JAM,TUR,701
REU,TUR,251
LVA,TUR,1274
TGO,TUR,1704
MWI,TUR,398
BIH,TUR,3446
GIN,TUR,2151
PRY,TUR,585
MDG,TUR,1539
PRI,TUR,294
BFA,TUR,1282
MNG,TUR,3910
CRI,TUR,406
MOZ,TUR,740
TJK,TUR,5067
HRV,TUR,1109
AGO,TUR,1414
MDA,TUR,3375
BEN,TUR,1638
LAO,TUR,404
LTU,TUR,1302
ARM,TUR,1370
ALB,TUR,3216
HTI,TUR,2022
MLI,TUR,1311
SRB,TUR,3217
PAN,TUR,433
GEO,TUR,10694
NOR,TUR,3085
SEN,TUR,2335
NIC,TUR,339
CMR,TUR,2445
IRL,TUR,1844
LBN,TUR,21184
BGR,TUR,12226
COD,TUR,1363
GRC,TUR,5381
KGZ,TUR,7768
HUN,TUR,1077
DNK,TUR,4158
SVK,TUR,751
FIN,TUR,2332
HND,TUR,323
PRT,TUR,905
AUT,TUR,14259
BHR,TUR,3226
DOM,TUR,1026
