iso,year,no_dircrim,no_indcrim,gmc,nophys,nopsych,nodiv,nb3g,adp_general,adp_const,adp_employment,adp_edu,adp_health,adp_housing,trip_score
BDI,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
BDI,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
BDI,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
BDI,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
BDI,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
BDI,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
BDI,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
BDI,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
BDI,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
BDI,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
BDI,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
BDI,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CPV,1999,,,,,,,,,,,,,,
CPV,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CPV,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CPV,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CPV,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CPV,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CPV,2005,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
CPV,2006,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
CPV,2007,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
CPV,2008,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
CPV,2009,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
CPV,2010,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
CPV,2011,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
CPV,2012,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
CPV,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
CPV,2014,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
CPV,2015,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
CPV,2016,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
CPV,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
CPV,2018,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
CPV,2019,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
CPV,2020,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
CPV,2021,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
CAF,1999,,,,,,,,,,,,,,
CAF,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CAF,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CAF,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CAF,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CAF,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CAF,2005,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CAF,2006,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CAF,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CAF,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CAF,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CAF,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CAF,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CAF,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CAF,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CAF,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CAF,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CAF,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CAF,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CAF,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CAF,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CAF,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CAF,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CHL,1999,,,,,,,,,,,,,,
CHL,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CHL,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CHL,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CHL,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CHL,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CHL,2005,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CHL,2006,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CHL,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CHL,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CHL,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CHL,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CHL,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CHL,2012,1,0,0,0,0,0,0,1,0,1,0,0,0,3.0
CHL,2013,1,0,0,0,0,0,0,1,0,1,0,0,0,3.0
CHL,2014,1,0,0,0,0,0,0,1,0,1,0,0,0,3.0
CHL,2015,1,0,0,0,0,0,0,1,0,1,0,0,0,3.0
CHL,2016,1,0,0,0,0,0,0,1,0,1,0,0,0,3.0
CHL,2017,1,0,0,0,0,0,0,1,0,1,0,0,0,3.0
CHL,2018,1,0,0,0,0,0,0,1,0,1,0,0,0,3.0
CHL,2019,1,0,1,1,1,0,0,1,0,1,0,0,0,6.0
CHL,2020,1,0,1,1,1,0,0,1,0,1,0,0,0,6.0
CHL,2021,1,0,1,1,1,0,0,1,0,1,0,0,0,6.0
CRI,1999,,,,,,,,,,,,,,
CRI,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CRI,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CRI,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CRI,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CRI,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CRI,2005,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CRI,2006,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CRI,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CRI,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CRI,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CRI,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CRI,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CRI,2012,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
CRI,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
CRI,2014,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
CRI,2015,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
CRI,2016,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
CRI,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
CRI,2018,1,1,1,1,1,1,0,0,0,0,0,0,0,6.0
CRI,2019,1,1,1,1,1,1,0,0,0,0,0,0,0,6.0
CRI,2020,1,1,1,1,1,1,0,0,0,0,0,0,0,6.0
CRI,2021,1,1,1,1,1,1,0,0,0,0,0,0,0,6.0
TLS,1999,,,,,,,,,,,,,,
TLS,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
TLS,2001,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
TLS,2002,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
TLS,2003,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
TLS,2004,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
TLS,2005,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
TLS,2006,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
TLS,2007,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
TLS,2008,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
TLS,2009,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
TLS,2010,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
TLS,2011,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
TLS,2012,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
TLS,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
TLS,2014,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
TLS,2015,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
TLS,2016,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
TLS,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
TLS,2018,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
TLS,2019,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
TLS,2020,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
TLS,2021,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
ECU,1999,,,,,,,,,,,,,,
ECU,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
ECU,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
ECU,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
ECU,2003,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
ECU,2004,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
ECU,2005,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
ECU,2006,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
ECU,2007,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
ECU,2008,1,1,0,0,0,0,0,0,1,0,0,0,0,3.0
ECU,2009,1,1,0,0,0,0,0,0,1,0,0,0,0,3.0
ECU,2010,1,1,0,0,0,0,0,0,1,0,0,0,0,3.0
ECU,2011,1,1,0,0,0,0,0,0,1,0,0,0,0,3.0
ECU,2012,1,1,0,0,0,0,0,0,1,0,0,0,0,3.0
ECU,2013,1,1,0,0,0,0,0,0,1,0,0,0,0,3.0
ECU,2014,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0
ECU,2015,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0
ECU,2016,1,0,1,1,1,1,0,0,1,0,0,0,0,6.0
ECU,2017,1,0,1,1,1,1,0,0,1,0,0,0,0,6.0
ECU,2018,1,0,1,1,1,1,0,0,1,0,0,0,0,6.0
ECU,2019,1,0,1,1,1,1,0,0,1,0,0,0,0,6.0
ECU,2020,1,0,1,1,1,1,0,0,1,0,0,0,0,6.0
ECU,2021,1,0,1,1,1,1,0,0,1,0,0,0,0,6.0
FRA,1999,,,,,,,,,,,,,,
FRA,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
FRA,2001,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
FRA,2002,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
FRA,2003,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
FRA,2004,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
FRA,2005,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
FRA,2006,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
FRA,2007,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
FRA,2008,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
FRA,2009,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
FRA,2010,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
FRA,2011,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
FRA,2012,1,1,0,0,0,0,0,1,0,1,1,1,1,7.0
FRA,2013,1,1,0,0,0,0,0,1,0,1,1,1,1,7.0
FRA,2014,1,1,0,0,0,0,0,1,0,1,1,1,1,7.0
FRA,2015,1,1,0,0,0,0,0,1,0,1,1,1,1,7.0
FRA,2016,1,1,0,0,0,0,0,1,0,1,1,1,1,7.0
FRA,2017,1,1,1,1,1,1,0,1,0,1,1,1,1,11.0
FRA,2018,1,1,1,1,1,1,0,1,0,1,1,1,1,11.0
FRA,2019,1,1,1,1,1,1,0,1,0,1,1,1,1,11.0
FRA,2020,1,1,1,1,1,1,0,1,0,1,1,1,1,11.0
FRA,2021,1,1,1,1,1,1,0,1,0,1,1,1,1,11.0
DEU,1999,,,,,,,,,,,,,,
DEU,2000,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
DEU,2001,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
DEU,2002,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
DEU,2003,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
DEU,2004,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
DEU,2005,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
DEU,2006,1,1,1,0,0,0,0,1,0,1,1,1,1,8.0
DEU,2007,1,1,1,0,0,0,0,1,0,1,1,1,1,8.0
DEU,2008,1,1,1,0,0,0,0,1,0,1,1,1,1,8.0
DEU,2009,1,1,1,0,0,1,0,1,0,1,1,1,1,9.0
DEU,2010,1,1,1,0,0,1,0,1,0,1,1,1,1,9.0
DEU,2011,1,1,1,1,0,1,0,1,0,1,1,1,1,10.0
DEU,2012,1,1,1,1,0,1,0,1,0,1,1,1,1,10.0
DEU,2013,1,1,1,1,0,1,0,1,0,1,1,1,1,10.0
DEU,2014,1,1,1,1,0,1,0,1,0,1,1,1,1,10.0
DEU,2015,1,1,1,1,0,1,0,1,0,1,1,1,1,10.0
DEU,2016,1,1,1,1,0,1,0,1,0,1,1,1,1,10.0
DEU,2017,1,1,1,1,0,1,0,1,0,1,1,1,1,10.0
DEU,2018,1,1,1,1,0,1,0,1,0,1,1,1,1,10.0
DEU,2019,1,1,1,1,0,1,0,1,0,1,1,1,1,10.0
DEU,2020,1,1,1,1,0,1,0,1,0,1,1,1,1,10.0
DEU,2021,1,1,1,1,0,1,0,1,0,1,1,1,1,10.0
GTM,1999,,,,,,,,,,,,,,
GTM,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
GTM,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
GTM,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
GTM,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
GTM,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
GTM,2005,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
GTM,2006,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
GTM,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
GTM,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
GTM,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
GTM,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
GTM,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
GTM,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
GTM,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
GTM,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
GTM,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
GTM,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
GTM,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
GTM,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
GTM,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
GTM,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
GTM,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
IRN,1999,,,,,,,,,,,,,,
IRN,2000,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0
IRN,2001,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0
