country,decade,tried,deaths,battles,population
Italy,1490,1,0,0,9700000
Italy,1500,0,0,0,10000000
Italy,1510,0,0,0,10200000
Italy,1520,0,0,0,10400000
Italy,1530,0,0,0,10600000
Italy,1540,0,0,0,10800000
Italy,1550,7,0,1,11000000
Italy,1560,2,0,0,11200000
Italy,1570,18,0,0,11400000
Italy,1580,127,0,0,11600000
Italy,1590,56,0,0,11800000
Italy,1600,2,0,0,12000000
Italy,1610,35,0,0,12100000
Italy,1620,126,0,2,12200000
Italy,1630,68,0,6,12300000
Italy,1640,60,0,6,12400000
Italy,1650,9,0,0,12500000
Italy,1660,0,0,0,12600000
Italy,1670,0,0,0,12700000
Italy,1680,0,0,0,12800000
Italy,1690,0,0,0,12900000
Italy,1700,0,0,0,13000000
Italy,1710,0,0,0,13600000
Italy,1720,0,0,0,14200000
Italy,1730,0,0,0,14800000
Italy,1740,0,0,0,15400000
Italy,1750,0,0,0,16000000
Italy,1760,0,0,0,16600000
Italy,1770,0,0,0,17200000
Italy,1780,0,0,0,17800000
Italy,1790,0,0,0,18400000
Italy,1800,0,0,0,19000000
Italy,1810,0,0,0,20500000
Italy,1820,0,0,0,22000000
Italy,1830,0,0,0,23500000
Italy,1840,0,0,0,25000000
Italy,1850,0,0,0,26500000
Luxembourg,1300,0,0,0,97500
Luxembourg,1310,0,0,0,93990
Luxembourg,1320,0,0,0,90480
Luxembourg,1330,0,0,0,86970
Luxembourg,1340,0,0,0,83460
Luxembourg,1350,0,0,0,79950
Luxembourg,1360,0,0,0,76440
Luxembourg,1370,0,0,0,72930
Luxembourg,1380,0,0,0,69420
Luxembourg,1390,0,0,0,65910
Luxembourg,1400,0,0,0,62400
Luxembourg,1410,0,0,0,65910
Luxembourg,1420,0,0,0,69420
Luxembourg,1430,0,0,0,72930
Luxembourg,1440,0,0,0,76440
Luxembourg,1450,0,0,0,79950
Luxembourg,1460,0,0,0,83460
Luxembourg,1470,3,0,0,86970
Luxembourg,1480,0,0,0,90480
Luxembourg,1490,0,0,0,93990
Luxembourg,1500,0,0,0,97500
Luxembourg,1510,0,0,0,99450
Luxembourg,1520,0,0,0,101400
Luxembourg,1530,0,0,0,103350
Luxembourg,1540,0,0,0,105300
Luxembourg,1550,0,0,0,107250
Luxembourg,1560,0,0,0,109200
Luxembourg,1570,0,0,0,111150
Luxembourg,1580,38,33,0,113100
Luxembourg,1590,38,33,0,115050
Luxembourg,1600,48,33,0,117000
Luxembourg,1610,49,0,0,118950
Luxembourg,1620,39,0,0,120900
Luxembourg,1630,2,0,0,122850
Luxembourg,1640,2,0,0,124800
Luxembourg,1650,0,0,0,126750
Luxembourg,1660,0,0,0,128700
Luxembourg,1670,0,0,0,130650
Luxembourg,1680,0,0,0,132600
Luxembourg,1690,0,0,0,134550
Luxembourg,1700,0,0,0,136500
Luxembourg,1710,0,0,0,148200
Luxembourg,1720,0,0,0,159900
Luxembourg,1730,0,0,0,171600
Luxembourg,1740,0,0,0,183300
Luxembourg,1750,0,0,0,195000
Luxembourg,1760,0,0,0,206700
Luxembourg,1770,0,0,0,218400
Luxembourg,1780,0,0,0,230100
Luxembourg,1790,0,0,0,241800
Luxembourg,1800,0,0,0,253500
Luxembourg,1810,0,0,0,282750
Luxembourg,1820,0,0,0,312000
Luxembourg,1830,0,0,0,341250
Luxembourg,1840,0,0,0,370500
Luxembourg,1850,0,0,0,399750
Netherlands,1300,0,0,0,800000
Netherlands,1310,0,0,0,780000
Netherlands,1320,1,0,0,760000
Netherlands,1330,0,0,0,740000
Netherlands,1340,0,0,0,720000
Netherlands,1350,0,0,0,700000
Netherlands,1360,0,0,0,680000
Netherlands,1370,3,0,0,660000
Netherlands,1380,0,0,0,640000
Netherlands,1390,0,0,0,620000
Netherlands,1400,3,0,0,600000
Netherlands,1410,1,0,0,630000
Netherlands,1420,2,0,0,660000
Netherlands,1430,0,0,0,690000
Netherlands,1440,6,0,0,720000
Netherlands,1450,3,0,0,750000
Netherlands,1460,3,0,0,780000
Netherlands,1470,2,1,0,810000
Netherlands,1480,0,0,0,840000
Netherlands,1490,5,0,0,870000
Netherlands,1500,3,0,0,900000
Netherlands,1510,1,0,0,960000
Netherlands,1520,3,0,0,1020000
Netherlands,1530,7,1,0,1080000
Netherlands,1540,18,5,0,1140000
Netherlands,1550,14,8,0,1200000
Netherlands,1560,32,14,1,1260000
Netherlands,1570,6,0,16,1320000
Netherlands,1580,26,10,14,1380000
Netherlands,1590,41,4,10,1440000
Netherlands,1600,22,2,4,1500000
Netherlands,1610,23,0,0,1550000
Netherlands,1620,22,1,4,1600000
Netherlands,1630,16,0,3,1650000
Netherlands,1640,14,0,2,1700000
Netherlands,1650,31,0,0,1750000
Netherlands,1660,12,0,0,1800000
Netherlands,1670,14,0,0,1850000
Netherlands,1680,9,0,0,1900000
Netherlands,1690,2,0,0,1950000
Netherlands,1700,3,0,0,2000000
Netherlands,1710,4,0,0,2000000
Netherlands,1720,2,0,0,2000000
Netherlands,1730,1,0,0,2000000
Netherlands,1740,3,0,0,2000000
Netherlands,1750,1,0,0,2000000
Netherlands,1760,2,0,0,2000000
Netherlands,1770,4,0,0,2000000
Netherlands,1780,1,0,0,2000000
Netherlands,1790,0,0,0,2000000
Netherlands,1800,0,0,0,2000000
Netherlands,1810,0,0,0,2325000
Netherlands,1820,1,0,0,2650000
Netherlands,1830,1,0,0,2975000
Netherlands,1840,0,0,0,3300000
Netherlands,1850,1,0,0,3625000
Northern Ireland,1300,0,0,0,132000
Northern Ireland,1310,0,0,0,128700
Northern Ireland,1320,0,0,0,125400
Northern Ireland,1330,0,0,0,122100
Northern Ireland,1340,0,0,0,118800
Northern Ireland,1350,0,0,0,115500
Northern Ireland,1360,0,0,0,112200
Northern Ireland,1370,0,0,0,108900
Northern Ireland,1380,0,0,0,105600
Northern Ireland,1390,0,0,0,102300
Northern Ireland,1400,0,0,0,99000
Northern Ireland,1410,0,0,0,102300
Northern Ireland,1420,0,0,0,105600
Northern Ireland,1430,0,0,0,108900
Northern Ireland,1440,0,0,0,112200
